geohome,geowork,likeIrpin,likeVishneve,likeBucha,likeVorzel,likeKocubinske,likeBoyarka,likeBrovary,likeBoryspil,likeVyshgorod,comments,liveSuburb,liveOkolica,isGoodWorkLocation,age,isRented,job,liveHouse,isInvestor,isActivist,isFreeAppartmentImportant,
Місце проживання (геокоординати),Місце роботи (геокоординати),Оцініть привабливість містечка [Ірпінь],Оцініть привабливість містечка [Вишневе],Оцініть привабливість містечка [Буча],Оцініть привабливість містечка [Ворзель],Оцініть привабливість містечка [Коцюбинське],Оцініть привабливість містечка [Боярка],Оцініть привабливість містечка [Бровари],Оцініть привабливість містечка [Бориспіль],Оцініть привабливість містечка [Вишгород],Маєте щось додати?,"Вподобання [Чи погодилися би ви жити і працювати в розвиненому містечку-супутнику, замість великого міста?]",Вподобання [Чи погодилися би ви працювати на околиці міста замість центру?],Вподобання [Чи задоволені ви розташуванням вашої поточної роботи?],Ваш вік,Вподобання [Чи є ваше поточне місце проживання орендованим?],Ваша спеціалізація,Вподобання [Чи хотіли б ви жити у приватному будинку замість квартири в багатоповерхівці?],Вподобання [Чи розглядали б можливість стати інвестором у розбудові бізнесу/інфраструктури нового професійного району?],"Вподобання [Чи долучились би до громадської діяльності у новому місті (вдосконалення публічного простору, громадський контроль, локальне волонтерство, тощо)]",Вподобання [Чи стало б вагомим аргументом для переїзду в нове місце надання роботадавцем можливості пільгової оренди житла поруч з роботою?],
50.4543|30.4955,50.4456|30.5222,Погане,,,,,,,,невідомо,,Так,Скоріше ні,Скоріше так,35,Так,Software Developer,Так,Так,Так,Так,
50.4539|30.4974,50.4376|30.5205,невідомо,невідомо,невідомо,невідомо,невідомо,невідомо,невідомо,невідомо,невідомо,,,,,,,,,,,,
50.5395|30.2600,50.5395|30.2600,,,,,,,,,,,Скоріше так,Скоріше так,Так,37,Так,Software Developer,Скоріше так,Скоріше ні,Важко відповісти,Скоріше ні,
50.5264|30.4636,50.4313|30.4875,Погане,Погане,Нормальне,Нормальне,Нормальне,Погане,Погане,Погане,Нормальне,,Скоріше так,Скоріше так,Скоріше ні,34,Ні,Software Developer,Ні,Скоріше так,Скоріше так,Ні,
50.4543|30.5077,50.4108|30.5713,Найкраще,Важко відповісти,Нормальне,Погане,Нормальне,Важко відповісти,Нормальне,Нормальне,Нормальне,,Так,Так,Скоріше так,28,Так,Software Developer,Так,Так,Так,Так,
50.3987|30.5200,50.4819|30.4852,Найкраще,,,,,Найкраще,,,,,Так,Так,Ні,33,Так,Software Developer,Так,Так,Скоріше так,Скоріше так,
50.4419|30.2882,50.4171|30.5173,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Важко відповісти,Так,24,Ні,Software Developer,Так,Скоріше ні,Скоріше ні,Ні,
50.4343|30.6203,50.4248|30.5065,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Скоріше так,Скоріше ні,28,Ні,Software Developer,Важко відповісти,Важко відповісти,Ні,Ні,
,,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Скоріше ні,Так,27,Ні,Software Developer,Так,Ні,Ні,Ні,
49.7966|24.0282,49.8328|23.9991,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,"Прожив, близько, 6 років у Києві, потім переїхав до Львова, задоволений. ",Скоріше так,Скоріше так,Важко відповісти,27,Так,Software Developer,Скоріше так,Скоріше так,Скоріше так,Скоріше так,
49.8272|24.0462,49.8019|24.0106,,,,,,,,,,Берлін.,Важко відповісти,Скоріше так,Скоріше так,25,Так,Інша ІТ спеціальність,Важко відповісти,Ні,Ні,Ні,
,,Нормальне,Нормальне,,,,,,,Погане,,Ні,Ні,Скоріше так,32,Так,Project/Account Manager,Скоріше так,Ні,Скоріше ні,Скоріше ні,
49.8283|24.0221,49.8327|23.9981,,,,,,,,,,,Так,Скоріше так,Так,27,Так,Software Developer,Скоріше так,Важко відповісти,Важко відповісти,Так,
50.3866|30.4811,50.4003|30.5055,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Нормальне,,Ні,Так,Так,27,Так,Software Developer,Так,Ні,Ні,Так,
49.8480|24.0010,49.8506|23.9916,,,,,,,,,,,Так,Так,Скоріше ні,29,Так,Software Developer,Так,Так,Так,Так,
50.3833|30.3779,50.3912|30.4108,Нормальне,Найкраще,Нормальне,Важко відповісти,Нормальне,Нормальне,Погане,Погане,Погане,,Так,Так,Так,39,Ні,Інша ІТ спеціальність,Так,Так,Так,Скоріше так,
50.5791|30.0090,50.4482|30.5909,Погане,Важко відповісти,Погане,Нормальне,Нормальне,Погане,Погане,Погане,Важко відповісти,,Так,Так,Ні,25,Ні,Software Developer,Так,Скоріше ні,Скоріше так,Скоріше так,
,,,,,,,,,,Нормальне,,Скоріше так,Так,Скоріше так,26,Так,Software Developer,Скоріше так,Важко відповісти,Важко відповісти,Скоріше так,
48.4508|35.0415,48.4673|35.0546,,,,,,,,,,,Так,Скоріше так,Так,33,Так,Software Developer,Так,Скоріше так,Скоріше ні,Так,
48.2924|25.9385,48.2954|25.9281,,,,,,,,,,,Ні,Ні,Так,21,Ні,Software Developer,Скоріше ні,Важко відповісти,Ні,Ні,
,,Найкраще,Погане,Найкраще,Нормальне,Нормальне,Важко відповісти,Погане,Погане,Нормальне,,Так,Скоріше ні,Скоріше ні,40,Так,Software Developer,Скоріше так,Скоріше ні,Скоріше ні,Так,
,,,,Нормальне,,,,,,,,Так,Так,Так,26,Так,Software Developer,Так,Скоріше так,Так,Так,
48.4399|35.0182,48.4606|35.0584,,,,,,,,,,Хіба це має сенс для будь-якого міста окрім Києва?,Скоріше ні,Ні,Так,31,Так,Software Developer,Скоріше так,Скоріше так,Так,Ні,
50.4541|30.5928,50.4514|30.5126,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Ні,Так,27,Так,Software Developer,Скоріше ні,Ні,Ні,Ні,
50.3991|30.6170,50.4456|30.5176,Нормальне,Нормальне,Погане,Погане,Найкраще,Погане,Погане,Погане,Погане,,Так,Ні,Скоріше так,24,Ні,BA/QA,Так,Ні,Скоріше так,Скоріше ні,
50.5092|30.4208,50.4689|30.5164,Найкраще,Погане,Нормальне,Нормальне,Нормальне,Погане,Нормальне,Погане,Нормальне,,Так,Так,Скоріше ні,27,Так,BA/QA,Важко відповісти,Скоріше так,Так,Так,
48.4022|35.0312,48.4213|35.1221,,,,,,,,,,,Скоріше ні,Так,Так,24,Так,Software Developer,Так,Ні,Скоріше ні,Скоріше так,
